code,industry,year,yearly_open_cum,yearly_high_cum,code_name,volume,turn,isST,peTTM,pbMRQ
sh.600410,I65软件和信息技术服务业,2025,0.08122293376751176,5.875059295892626,华胜天成,55922974.81154082,5.095703318600369,0,-196.79956254729728,1.9359609981572483
sz.301326,C39计算机、通信和其他电子设备制造业,2025,-0.2047334088106434,5.874434410593585,捷邦科技,2036062.044137931,8.61184524137931,0,-78.36020878867403,2.7034506588397793
sz.301082,C38电气机械和器材制造业,2025,-0.5123826037708652,5.873313436079353,久盛电气,7928535.990496304,9.738818796198522,0,48.14536124735729,3.3638894778012687
sh.603800,C35专用设备制造业,2025,-0.6604388570619487,5.870773293109023,洪田股份,3085367.28422345,1.4851731057160418,0,4.725789490171991,4.997021085995086
sz.300546,C39计算机、通信和其他电子设备制造业,2025,-0.4507489709152702,5.866638467783301,雄帝科技,7626802.759361572,7.17816615592388,0,2696.9797536572482,3.530725046683047
sh.688757,M74专业技术服务业,2025,2.1125720625379896,5.866310360171182,胜科纳米,4758990.454545454,14.609452892561983,0,127.31338307438017,12.690431487603306
sz.001395,C35专用设备制造业,2025,1.898548458332371,5.865840265453195,亚联机械,3527653.3525641025,18.239189102564104,0,22.85854069871795,4.375301814102564
sz.300945,F52零售业,2025,-0.6097857448560176,5.865158072724916,曼卡龙,11015190.495964125,9.821967264573992,0,47.63536909694793,3.7355425852782767
sh.688500,I65软件和信息技术服务业,2025,-0.16633528755154967,5.864107180391372,慧辰股份,1200671.555732484,2.633766640127389,1,-0.19160607324840756,2.7696741050955413
sz.301228,M74专业技术服务业,2025,-0.043265516220977476,5.862972581429244,实朴检测,4159771.9250851306,8.168346992054483,0,-243.35806880681818,2.9892306715909087
sh.688096,C35专用设备制造业,2025,0.32990377143430916,5.852611025672318,京源环保,1954743.7639939485,2.353287367624811,0,2.326797886449659,2.3896001188493563
sh.603286,C36汽车制造业,2025,-0.11670884914963685,5.844770911712041,日盈电子,4097533.07796194,4.581321942307692,0,-59.5396901541769,3.1439795325552824
sz.301205,C39计算机、通信和其他电子设备制造业,2025,-0.4724074688036083,5.839474477437077,联特科技,5052195.640218878,12.217353625170999,0,-91.69770849178083,6.80319561369863
sh.688039,I65软件和信息技术服务业,2025,0.024921330282032417,5.83849353670486,当虹科技,2593946.8407142856,4.101144071428571,0,23.505855737669762,4.2958397748391715
sh.688428,C27医药制造业,2025,0.1304231597335944,5.83795572519937,诺诚健华,7045832.948965517,2.8317129655172413,0,-55.22518515745857,3.4730601298342543
sh.688166,C27医药制造业,2025,-0.051180765473251386,5.836200075903936,博瑞医药,5924047.478566409,2.7453842586085733,0,91.91713221097046,9.299473779887483
sh.688661,C39计算机、通信和其他电子设备制造业,2025,-0.18902414851559649,5.831700204980114,和林微纳,2163913.9236430544,5.202076080956762,0,-7.976434006445673,7.060890372928177
sz.300199,C27医药制造业,2025,0.059250430495453144,5.829691021851724,翰宇药业,36921339.41927563,5.583868481890731,0,413.98979882063884,7.896865045454546
sh.688691,I65软件和信息技术服务业,2025,-0.5066741364217486,5.829313690344283,灿芯股份,3661940.113960114,11.166042735042735,0,-39.75482842735043,6.113923584045583
sh.688668,C39计算机、通信和其他电子设备制造业,2025,-0.05035631433890403,5.828607050382365,鼎通科技,3406614.1815812336,5.2271210251954825,0,53.46923152521739,4.957828274782608
sh.688077,C30非金属矿物制品业,2025,-0.322989492137852,5.824783154083837,大地熊,2526291.798084597,4.931296727853152,0,-15.770506419329074,3.931370085463259
sz.300472,C35专用设备制造业,2025,-0.8135857216417448,5.82000471876247,*ST新元,10467215.127764128,4.689151950859951,1,7.537352093980344,8.681547862407863
